Date,equity
2025-08-14,0.0
2025-08-18,0.0
2025-08-19,2697.4522060708296
2025-08-20,5375.054227227565
2025-08-21,5453.674752177949
2025-08-22,14121.216306812494
2025-08-25,875.3195627349442
2025-08-26,-7358.514398546901
2025-08-28,-7358.514398546901
2025-08-29,-5326.291273213598
2025-09-01,-23248.686992505136
2025-09-02,-26415.324916721092
2025-09-03,-22223.449779549985
2025-09-04,-22721.769716401912
2025-09-05,-23751.800338768262
2025-09-08,-27868.864727937525
2025-09-09,-25019.779258437382
2025-09-10,-17065.1450379963
2025-09-11,-14831.311529654924
2025-09-12,-18982.25538670294
2025-09-15,-20375.38175453341
2025-09-16,-13381.997667075566
2025-09-17,-6735.632547404466
2025-09-18,3975.824267461223
2025-09-19,6741.630441208792
2025-09-22,12510.380696916001
2025-09-23,11294.88120641414
2025-09-24,19379.713646573153
2025-09-25,44673.60276462797
2025-09-26,54426.01208024795
2025-09-29,51337.75257590729
2025-09-30,49717.632909326414
2025-10-01,46039.93599723454
2025-10-03,46039.93599723454
2025-10-06,38039.974416865385
2025-10-07,37480.964240855435
2025-10-08,33143.4335419765
2025-10-09,33143.4335419765
2025-10-10,28944.410326394933
2025-10-13,28244.461390717475
2025-10-14,23998.846906643492
2025-10-15,31108.446488703437
2025-10-16,49516.99618642207
2025-10-17,44734.3074892579
2025-10-20,37847.69776102184
2025-10-21,37071.742735692205
2025-10-23,37071.742735692205
2025-10-24,40033.5939210367
2025-10-27,22753.785470131257
2025-10-28,19798.833909131157
2025-10-29,22948.6713913867
2025-10-30,12787.376133423017
2025-10-31,18574.964495726555
2025-11-03,9466.69725971475
2025-11-04,2672.491551243401
2025-11-06,2672.491551243401
2025-11-07,2468.433197394542
2025-11-10,-9023.555369450707
2025-11-11,-4871.672902661578
2025-11-12,12888.891472317016
2025-11-13,11666.46209620211
2025-11-14,9741.813048498705
2025-11-17,3526.6563235834274
2025-11-18,-1791.8150374223496
2025-11-19,3307.9127915760528
2025-11-20,12202.929336088016
2025-11-21,16356.577100841094
2025-11-24,20507.24407574402
2025-11-25,22595.466977460397
2025-11-26,6721.856549642358
2025-11-27,6970.4689911057685
2025-11-28,6567.08986214188
2025-12-01,4402.617094390676
2025-12-02,-1307.3770007968633
2025-12-03,-5027.0107189032515
2025-12-04,-5027.0107189032515
2025-12-05,-10597.68375920868
